product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,weekday,weekend,holiday,month,year,s,volume,comp_1,fp1,comp_2,fp2,comp_3,fp3,lag_price,lag_ps1,lag_ps2,lag_ps3,lag_total_price,lag_customers,lag_product_score,lag_qty,total_price_log,mean_prev_price,var_prev_price
health5,health_beauty,2017-02-01,4,1399.6,26.9275,349.9,51,625,1,900,20,8,2,2,2017,11.27717391,11400,19.99,11.75090909,349.9,26.9275,64.99,15.348,349.9,4.3,4.3,3.9,2799.2,9.0,4.3,8.0,7.2439417604935326,8.13982149510756,0.08220097694658245
furniture4,furniture_decor,2018-06-01,10,999.0,25.636,99.9,57,272,1,2500,21,9,0,6,2018,10.30927835,12000,89.9,21.93,35.0,18.10153846,99.9,25.636,99.9,4.1,3.7,4.4,1298.7,95.0,4.4,13.0,6.906754778648553,7.153110501581336,0.0012813670103422388
watches1,watches_gifts,2018-03-01,32,4860.11,20.31375,151.8784375,35,514,2,4338,22,9,1,3,2018,17.62007555,2856,117.4412903,18.26129032,105.6428571,21.6652381,151.8784375,20.31375,182.0,4.2,4.2,3.8,1092.0,90.0,3.8,6.0,8.488816350383257,6.692159301156566,0.37594233718524617
cool2,cool_stuff,2017-08-01,16,1870.84,19.02125,116.9275,33,897,1,1600,23,8,1,8,2017,14.41441441,15750,99.99,18.975,116.9275,19.02125,116.9275,19.02125,129.99,4.2,4.3,4.3,2079.84,42.0,4.3,16.0,7.534142806850438,6.5668035507718265,1.4711960628527652
garden10,garden_tools,2017-06-01,3,179.7,16.26,59.9,59,341,2,1750,22,8,1,6,2017,2.429117553,32560,59.9,17.67,59.9,16.26,59.9,16.26,59.9,4.1,4.2,4.2,179.7,34.0,4.2,3.0,5.191288793789513,6.9043707597424016,0.8347033548710892
garden9,garden_tools,2017-06-01,4,239.6,16.6125,59.9,58,340,2,1500,22,8,1,6,2017,3.498076354,19800,59.9,17.67,59.9,16.26,59.9,16.6125,59.9,4.1,4.2,4.0,419.3,34.0,4.0,7.0,5.478970866241294,6.7220813018368135,0.7122988910810855
cool2,cool_stuff,2017-11-01,9,1169.91,22.67444444,129.99,33,897,1,1600,22,8,4,11,2017,8.108108108,15750,99.99,16.1875,129.99,22.67444444,129.99,22.67444444,119.99,4.2,4.3,4.3,1199.9,33.0,4.3,10.0,7.064682101756147,6.702306205706111,1.277707079663217
watches3,watches_gifts,2018-03-01,1,78.0,19.24,78.0,59,319,4,250,22,9,1,3,2018,2.740664611,640,117.4412903,18.26129032,105.6428571,21.6652381,151.8784375,20.31375,78.0,4.2,4.2,3.8,78.0,90.0,3.9,1.0,4.356708826689592,5.089117019134998,1.609265281083443
computers4,computers_accessories,2017-02-01,3,479.97,33.4,159.99,59,1893,1,6550,20,8,2,2,2017,7.889030612,8000,159.99,33.4,159.99,33.4,159.99,33.4,159.94,4.2,4.2,4.2,479.97,3.0,4.2,3.0,6.17372360194873,8.816838419115482,0.0
cool4,cool_stuff,2017-12-01,29,4842.71,24.47137931,166.99,40,1456,1,2425,21,10,1,12,2017,41.42857143,16530,99.99,15.26666667,129.99,25.59,166.99,24.47137931,157.3603704,4.2,4.3,3.8,4248.73,42.0,3.8,27.0,8.485229760370816,6.8827265886173095,1.6532013863405377
